,Наименование вакансии,Ссылка на вакансию,Минимальная з/п,Максимальная з/п,Валюта
138,Химик-технолог (ЭВА полимеры),https://kazan.hh.ru/vacancy/45286055?from=vacancy_search_list&query=%D0%A5%D0%B8%D0%BC%D0%B8%D0%BA,50000.0,,руб.
139,Инженер-химик/Инженер по качеству в ст. Старовеличковскую,https://kazan.hh.ru/vacancy/46922881?from=vacancy_search_list&query=%D0%A5%D0%B8%D0%BC%D0%B8%D0%BA,30000.0,,руб.
140,"Химик, г. Белгород",https://kazan.hh.ru/vacancy/46864708?from=vacancy_search_list&query=%D0%A5%D0%B8%D0%BC%D0%B8%D0%BA,,,
141,Инженер-химик/Инженер по качеству в ст. Старовеличковскую,https://kazan.hh.ru/vacancy/46922879?from=vacancy_search_list&query=%D0%A5%D0%B8%D0%BC%D0%B8%D0%BA,30000.0,,руб.
142,Лаборант химического анализа,https://kazan.hh.ru/vacancy/46826075?from=vacancy_search_list&query=%D0%A5%D0%B8%D0%BC%D0%B8%D0%BA,,,
143,Старший инженер-химик,https://kazan.hh.ru/vacancy/45742974?from=vacancy_search_list&query=%D0%A5%D0%B8%D0%BC%D0%B8%D0%BA,,,
144,Инженер-химик,https://kazan.hh.ru/vacancy/45357288?from=vacancy_search_list&query=%D0%A5%D0%B8%D0%BC%D0%B8%D0%BA,,,
145,Оператор установок по переработке химического сырья,https://kazan.hh.ru/vacancy/46760839?from=vacancy_search_list&query=%D0%A5%D0%B8%D0%BC%D0%B8%D0%BA,60000.0,80000.0,руб.
146,Инженер-химик,https://kazan.hh.ru/vacancy/45345671?from=vacancy_search_list&query=%D0%A5%D0%B8%D0%BC%D0%B8%D0%BA,,,
147,Инженер (химик),https://kazan.hh.ru/vacancy/46819275?from=vacancy_search_list&query=%D0%A5%D0%B8%D0%BC%D0%B8%D0%BA,,,
148,Химик-лаборант,https://kazan.hh.ru/vacancy/45958607?from=vacancy_search_list&query=%D0%A5%D0%B8%D0%BC%D0%B8%D0%BA,35000.0,40000.0,руб.
149,Инженер-химик/Инженер по качеству в ст. Старовеличковскую,https://kazan.hh.ru/vacancy/46922883?from=vacancy_search_list&query=%D0%A5%D0%B8%D0%BC%D0%B8%D0%BA,30000.0,,руб.
150,Химик-технолог текстильного предприятия,https://kazan.hh.ru/vacancy/44563475?from=vacancy_search_list&query=%D0%A5%D0%B8%D0%BC%D0%B8%D0%BA,30000.0,,руб.
151,Химик-лаборант,https://kazan.hh.ru/vacancy/46644503?from=vacancy_search_list&query=%D0%A5%D0%B8%D0%BC%D0%B8%D0%BA,28800.0,28800.0,руб.
152,Лаборант химического анализа,https://kazan.hh.ru/vacancy/44769399?from=vacancy_search_list&query=%D0%A5%D0%B8%D0%BC%D0%B8%D0%BA,,,
153,Контролер-химик,https://kazan.hh.ru/vacancy/46090953?from=vacancy_search_list&query=%D0%A5%D0%B8%D0%BC%D0%B8%D0%BA,,,
154,Инженер-химик,https://kazan.hh.ru/vacancy/46753440?from=vacancy_search_list&query=%D0%A5%D0%B8%D0%BC%D0%B8%D0%BA,80000.0,250000.0,руб.
155,Инженер по качеству/Химик,https://kazan.hh.ru/vacancy/45917383?from=vacancy_search_list&query=%D0%A5%D0%B8%D0%BC%D0%B8%D0%BA,,,
